admin0,GID_1,AAD,PMD_2,PMD_5,PMD_10,PMD_25,PMD:50,PMD_100,PMD_250,PMD_500,PMD_1000,scenario,year
NGA,NGA.2_1,5428.029902,1123.286573,10968.76759,19213.88958,25102.93994,29258.67523,31522.27144,34044.65418,35028.58809,36465.05073,current,2020
NGA,NGA.20_1,458.1330196,74.51978061,652.4244663,1574.530784,2120.211172,2890.629056,3324.847617,3448.565711,3514.212319,3561.317262,current,2020
NGA,NGA.21_1,94.35809182,21.63663862,118.6676477,187.5269921,350.5878688,765.0947642,1056.666208,1511.925913,1718.712704,2050.703821,current,2020
NGA,NGA.22_1,22093.47809,10487.19248,42935.85318,61466.36596,77664.0695,86416.72425,94029.13905,101588.2868,105563.2873,107907.8039,current,2020
NGA,NGA.23_1,38831.53119,15461.37883,94273.43242,117443.1117,123936.9428,136513.5517,141573.6906,143643.7197,145073.4774,174306.8881,current,2020
NGA,NGA.24_1,16736.19184,3559.605298,47898.85014,48792.21428,72617.45619,79207.1571,79282.97872,80697.34619,80728.82022,81557.9862,current,2020
NGA,NGA.25_1,983.2596016,239.958257,1871.144544,2696.466975,5619.886289,6203.679216,6508.526824,9992.753218,15989.72592,16657.32095,current,2020
NGA,NGA.26_1,24314.18661,1477.421231,73900.43336,90233.89358,94168.28421,95684.05398,96372.1871,97096.71479,97724.67254,98407.87838,current,2020
NGA,NGA.27_1,32402.63022,20161.73849,53015.96326,74731.09306,98068.0057,111841.0857,126451.6236,133627.336,137119.6963,138485.6583,current,2020
NGA,NGA.28_1,515.4216641,94.23179542,933.9737658,1813.725254,2134.869358,2605.691134,3355.009933,3963.782446,4361.184431,4649.434956,current,2020
NGA,NGA.29_1,37216.22744,1705.916282,123345.3252,144455.2481,169560.2437,175491.9636,177352.6506,183535.411,202488.5536,243507.5935,current,2020
NGA,NGA.3_1,12813.02226,6978.092199,7150.651327,7726.779396,10293.54034,11131.21251,11486.04767,11641.52562,11979.1628,12082.32193,current,2020
NGA,NGA.30_1,33.9175934,0,33.07174027,76.99267392,261.244235,337.5176884,672.4451329,779.4881787,824.876796,920.2231819,current,2020
NGA,NGA.31_1,9408.369185,144.3666369,1158.730033,45830.80108,46312.50568,55380.0712,57488.48327,58630.07239,67034.22352,67877.5242,current,2020
NGA,NGA.32_1,313.0409798,222.4816543,428.5012064,673.3089397,872.9670536,980.601607,1079.657881,1161.257424,1195.273849,1208.289987,current,2020
NGA,NGA.33_1,41981.07525,3732.983425,23714.53304,34254.21124,556670.4425,675230.0543,713580.6791,799508.9844,829520.652,832379.8536,current,2020
NGA,NGA.34_1,1192.888515,219.1381871,1842.923394,3162.844052,7123.496852,8834.654201,10716.05163,12320.41222,13234.35182,13920.99418,current,2020
NGA,NGA.35_1,6620.658592,3974.47487,11200.08233,14277.74972,16783.50172,18019.67323,19219.59982,20493.41216,21736.32646,22867.29089,current,2020
NGA,NGA.36_1,9710.58952,6962.335112,13026.45515,17722.06976,25642.02969,31374.07665,42969.39082,59484.67017,66201.18881,67663.80835,current,2020
NGA,NGA.37_1,613.85146,247.4659393,866.7008131,1773.138826,3068.767344,3975.256538,4643.204304,5791.144002,6776.385897,7219.980612,current,2020
NGA,NGA.4_1,40506.44509,37960.96952,76699.12725,86543.50378,97654.02772,137353.9697,149935.3308,166512.95,177821.9988,312184.9794,current,2020
NGA,NGA.5_1,4499.033642,1870.025637,7005.621914,11375.76657,15734.89637,21300.17195,28807.49533,44657.72964,51905.97737,53368.26175,current,2020
NGA,NGA.6_1,70918.03329,50609.19755,71559.5298,127353.6395,336194.2397,377517.303,410855.1068,464225.9172,628099.4757,706031.7111,current,2020
