admin0,AAD,PMD2,PMD5,PMD10,PMD25,PMD50,PMD_100,PMD250,PMD500,PMD1000,scenario,year
ALB,253.8253121,118.0520152,293.7103211,576.2687349,1104.702496,1605.808104,2100.48689,3438.825133,4124.384597,4989.175022,optimistic,2100
AND,1.619073426,0,0,0,0,0,17.40605615,131.2489144,185.2534646,367.8915634,optimistic,2100
ARE,6.038713353,1.29E-05,2.05E-05,5.834021598,35.85785091,70.13221669,258.3672193,258.3672193,262.8708618,263.1090447,optimistic,2100
ARG,20714.19,7083.19,23320.72,33393.46,55927.69,95031.27,162095.24,333345.16,359729.46,368910.86,optimistic,2100
ARM,2.167222055,0,0.862397083,2.203247573,6.286457514,28.53370297,37.90356565,159.4076955,200.8706451,242.3602425,optimistic,2100
AUS,4348.9,1795.02,3887.67,6012.43,11971.67,17151.53,20294.86,29754.44,40370.27,48541.23,optimistic,2100
AUT,956.7215994,79.26347779,758.7039524,2147.515783,8354.033864,11463.88469,12652.31603,15424.43433,18017.82854,19118.1631,optimistic,2100
AZE,1859.755928,293.1364217,3785.873815,3794.49903,3795.524744,3795.916074,4624.351917,5358.4278,6455.838155,6956.568891,optimistic,2100
BDI,12166.06958,6235.846741,19386.88079,28859.43651,43528.63056,45289.99809,47056.56561,48769.66854,49824.97368,50295.60028,optimistic,2100
BEL,674.4821026,0,0,416.7277564,4687.798379,12397.63914,17202.97284,28490.21868,34951.65188,41459.52344,optimistic,2100
BEN,101781.3605,96387.19658,138499.7447,157499.2353,248235.6804,272292.0127,279030.0779,293653.5833,326412.2351,428987.7636,optimistic,2100
BFA,17180.63877,11374.35839,21751.11971,28846.35674,35265.77885,48600.67772,54669.94366,59911.66755,62760.1473,63282.17204,optimistic,2100
BGD,809852.6992,158656.9659,915415.2469,3115437.167,4220729.297,5501588.444,7372613.977,8806442.339,9089712.284,10121567.33,optimistic,2100
BGR,1556.52526,592.5329624,2205.328555,3348.042927,5904.430394,10999.80238,13224.62511,15782.79689,16990.09203,18092.67936,optimistic,2100
BIH,961.7236607,250.9905047,947.0942961,2977.780518,5509.2433,8334.042889,9657.368118,10980.71996,11668.90353,11922.87323,optimistic,2100
BLR,1029.617365,569.4515915,1022.785912,1644.023301,2666.256261,4356.262781,9538.065344,11490.44647,13693.51396,17069.36393,optimistic,2100
BLZ,241.4639255,45.79931508,214.4155209,567.5761833,1378.667659,2105.052784,3023.578452,4516.319938,6605.173694,9639.068083,optimistic,2100
BOL,29427.88763,17220.61233,29490.44797,44374.76618,58109.14181,65308.25951,70934.95643,74162.77147,75638.88141,76102.65307,optimistic,2100
BRA,621082.35,409696.68,597200.31,818541.34,1059269.38,1333831.65,1523950.31,1593344.78,1637917.91,1684126.97,optimistic,2100
BRN,858.5357393,0,501.0731864,584.402757,693.6025722,16091.18925,26703.33142,30006.36591,30121.29639,30464.23202,optimistic,2100
BTN,672.5434737,234.3100578,1162.851972,1769.524618,2644.569212,4293.097618,4673.051923,5402.690782,5667.433439,6012.086645,optimistic,2100
BWA,1765.951819,930.5725085,2254.990908,3319.887603,4695.705792,5235.427728,5616.471686,6002.558487,6465.843346,6878.206061,optimistic,2100
CAF,49968.76824,14878.15005,44027.18883,71088.32727,166381.3218,191629.0413,240544.026,251563.3813,254110.3977,258859.6076,optimistic,2100
CAN,7760.91,3178.41,7019.15,10040.98,24028.09,42231.03,56249.83,178570.67,217718.89,246631,optimistic,2100
CHE,421.3743805,0.17741105,94.08814763,823.6914866,2578.828804,6666.592175,10971.8284,12498.67301,14951.54355,15947.94395,optimistic,2100
CHL,7630.963564,3265.746747,5989.887252,7302.509615,21507.68856,31602.73175,35892.47609,37827.14052,39963.0708,40192.86431,optimistic,2100
CHN,276673.48,176450.88,303246.72,431520.18,603909.03,722765.43,894955.73,967315.54,1033899.11,1130884.29,optimistic,2100
CIV,45559.79746,21964.30997,61275.86802,120898.0232,148111.1061,161647.1152,166615.9736,173085.3547,194409.9314,246499.3166,optimistic,2100
CMR,80513.93985,46661.6277,82173.74835,118493.4582,152926.3343,207544.2804,292553.6565,306241.4086,311664.4594,333271.9989,optimistic,2100
COD,566775.5107,324765.282,501165.2007,582647.048,791906.3089,1055229.372,1190021.772,1410313.273,1442563.956,1455063.717,optimistic,2100
COG,64705.16287,38705.21236,85394.40414,124520.1148,162878.9215,185382.2849,207272.6797,297149.7574,394142.9154,410994.0613,optimistic,2100
COL,179497.2497,92855.40456,187451.7529,243589.4189,307804.7694,362311.878,405498.1335,443630.8102,463418.7464,490474.9698,optimistic,2100
CRI,1456.740742,904.0525117,1908.181423,2617.536086,3525.896402,4091.244363,4673.72339,5701.759189,6119.771433,6245.112023,optimistic,2100
